date,season,product,location,product_price_per_unit
2024-01-01,Winter,Rice,Rajshahi,67.17
2024-01-01,Winter,Onion,Rajshahi,28.79
2024-01-01,Winter,Potato,Rajshahi,38.38
2024-01-01,Winter,Green Chilli,Rajshahi,47.97
2024-01-01,Winter,Tomato,Rajshahi,33.58
2024-01-01,Winter,Rice,Khulna,68.58
2024-01-01,Winter,Onion,Khulna,29.39
2024-01-01,Winter,Potato,Khulna,39.19
2024-01-01,Winter,Green Chilli,Khulna,48.98
2024-01-01,Winter,Tomato,Khulna,34.29
2024-01-01,Winter,Rice,Dhaka,74.23
2024-01-01,Winter,Onion,Dhaka,31.82
2024-01-01,Winter,Potato,Dhaka,42.42
2024-01-01,Winter,Green Chilli,Dhaka,53.03
2024-01-01,Winter,Tomato,Dhaka,37.12
2024-01-01,Winter,Rice,Chittagong,72.82
2024-01-01,Winter,Onion,Chittagong,31.21
2024-01-01,Winter,Potato,Chittagong,41.61
2024-01-01,Winter,Green Chilli,Chittagong,52.02
2024-01-01,Winter,Tomato,Chittagong,36.41
2024-01-01,Winter,Rice,Sylhet,72.11
2024-01-01,Winter,Onion,Sylhet,30.91
2024-01-01,Winter,Potato,Sylhet,41.21
2024-01-01,Winter,Green Chilli,Sylhet,51.51
2024-01-01,Winter,Tomato,Sylhet,36.06
2024-01-31,Winter,Rice,Rajshahi,67.17
2024-01-31,Winter,Onion,Rajshahi,28.79
2024-01-31,Winter,Potato,Rajshahi,38.38
2024-01-31,Winter,Green Chilli,Rajshahi,47.97
2024-01-31,Winter,Tomato,Rajshahi,33.58
2024-01-31,Winter,Rice,Khulna,68.58
2024-01-31,Winter,Onion,Khulna,29.39
2024-01-31,Winter,Potato,Khulna,39.19
2024-01-31,Winter,Green Chilli,Khulna,48.98
2024-01-31,Winter,Tomato,Khulna,34.29
2024-01-31,Winter,Rice,Dhaka,74.23
2024-01-31,Winter,Onion,Dhaka,31.82
2024-01-31,Winter,Potato,Dhaka,42.42
2024-01-31,Winter,Green Chilli,Dhaka,53.03
2024-01-31,Winter,Tomato,Dhaka,37.12
2024-01-31,Winter,Rice,Chittagong,72.82
2024-01-31,Winter,Onion,Chittagong,31.21
2024-01-31,Winter,Potato,Chittagong,41.61
2024-01-31,Winter,Green Chilli,Chittagong,52.02
2024-01-31,Winter,Tomato,Chittagong,36.41
2024-01-31,Winter,Rice,Sylhet,72.11
2024-01-31,Winter,Onion,Sylhet,30.91
2024-01-31,Winter,Potato,Sylhet,41.21
2024-01-31,Winter,Green Chilli,Sylhet,51.51
2024-01-31,Winter,Tomato,Sylhet,36.06
2024-03-01,Summer,Rice,Rajshahi,89.07
2024-03-01,Summer,Onion,Rajshahi,38.17
2024-03-01,Summer,Potato,Rajshahi,50.9
2024-03-01,Summer,Green Chilli,Rajshahi,63.62
